date,code,name,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount,max_stock_names
2022-03-21,BK0479,钢铁行业,0.41,-657483984.0,-547982528.0,-109501456.0,253366992.0,404116992.0,永兴材料
2022-03-21,BK0448,通信设备,0.55,-703325168.0,-316155088.0,-387170080.0,215165440.0,488159744.0,海格通信
2022-03-21,BK1019,化学原料,1.42,-734741760.0,-560740208.0,-174001552.0,205815296.0,528926464.0,卫星化学
2022-03-21,BK0481,汽车零部件,1.49,-898950288.0,-489330544.0,-409619744.0,251453696.0,647496704.0,富临精工
2022-03-21,BK0425,工程建设,2.09,-948518704.0,-521018672.0,-427500032.0,-41749248.0,990267904.0,宁波建工
2022-03-21,BK0475,银行,-1.04,-1037558960.0,-1003416496.0,-34142464.0,507755520.0,529803776.0,平安银行
2022-03-21,BK0737,软件开发,0.5,-1203225104.0,-371010576.0,-832214528.0,140070144.0,1063154944.0,延华智能
2022-03-21,BK0428,电力行业,-0.16,-1213050144.0,-742295056.0,-470755088.0,193289472.0,1019760640.0,长江电力
2022-03-21,BK0477,酿酒行业,0.3,-1267277328.0,-490724768.0,-776552560.0,531288320.0,735988736.0,顺鑫农业
2022-03-21,BK0473,证券,-1.4,-1917078576.0,-1184048256.0,-733030320.0,641791232.0,1275287552.0,财通证券
2022-03-21,BK0447,互联网服务,0.66,-2703532336.0,-1937900336.0,-765632000.0,709701120.0,1993831424.0,信雅达
