date,code,name,new_price,price_pct,net_amount,net_super_amount,net_large_amount,net_middle_amount,net_small_amount
2022-03-21,ts301206,三元生物,101.88,-0.22,-22479455.0,-11713429.0,-10766026.0,8479118.0,14000338.0
2022-03-21,ts300248,新开普,13.5,-0.81,-22560594.0,-4800477.0,-17760117.0,-12799117.0,35359713.0
2022-03-21,ts600233,圆通速递,17.17,-5.66,-22586668.0,-6298123.0,-16288545.0,35602017.0,-13015349.0
2022-03-21,ts603218,日月股份,26.18,-2.6,-22748815.0,2213225.0,-24962040.0,-23220119.0,45968933.0
2022-03-21,ts603387,基蛋生物,19.9,-0.4,-22756286.0,-13977682.0,-8778604.0,14353845.0,8402440.0
2022-03-21,ts688190,云路股份,75.97,4.82,-22756655.0,-20301.0,-22736354.0,6805193.0,15951463.0
2022-03-21,ts603985,恒润股份,33.2,-3.94,-22815582.0,-10469480.0,-12346102.0,-45885009.0,68700593.0
2022-03-21,ts000050,深天马Ａ,10.41,-1.23,-22831703.0,-22489820.0,-341883.0,16932778.0,5898925.0
2022-03-21,ts002474,榕基软件,8.12,0.5,-22855052.0,-11592570.0,-11262482.0,4164224.0,18690827.0
2022-03-21,ts002562,兄弟科技,5.4,7.57,-22863902.0,-35553033.0,12689131.0,10143729.0,12720173.0
2022-03-21,ts002453,华软科技,16.15,-1.28,-22883979.0,-13297041.0,-9586938.0,2347152.0,20536826.0
2022-03-21,ts600410,华胜天成,8.05,1.0,-22929880.0,-643920.0,-22285960.0,2796543.0,20133336.0
2022-03-21,ts000537,广宇发展,17.05,-2.52,-22968190.0,-18944921.0,-4023269.0,26796830.0,-3828640.0
2022-03-21,ts000813,德展健康,3.73,1.36,-23036489.0,-391950.0,-22644539.0,5203135.0,17833356.0
2022-03-21,ts688076,诺泰生物,49.92,-0.56,-23123444.0,-29804676.0,6681232.0,12466214.0,10657229.0
2022-03-21,ts300061,旗天科技,8.87,-0.22,-23171183.0,-9462597.0,-13708586.0,1303673.0,21867510.0
2022-03-21,ts300049,福瑞股份,13.86,-0.57,-23348270.0,-8639770.0,-14708500.0,-15644461.0,38992732.0
2022-03-21,ts300146,汤臣倍健,21.81,-1.0,-23421603.0,-20657452.0,-2764151.0,22196464.0,1225140.0
2022-03-21,ts600161,天坛生物,25.9,-1.03,-23574590.0,-7116191.0,-16458399.0,2838953.0,20735636.0
2022-03-21,ts300344,立方数科,6.63,-0.3,-23587229.0,-14126850.0,-9460379.0,16118027.0,7469201.0
2022-03-21,ts600660,福耀玻璃,35.31,-1.12,-23643685.0,31551735.0,-55195420.0,-61141392.0,84785088.0
2022-03-21,ts000564,*ST大集,1.06,-2.75,-23665863.0,-20828764.0,-2837099.0,8906110.0,14759752.0
2022-03-21,ts600015,华夏银行,5.29,-0.94,-23702214.0,-17536896.0,-6165318.0,16396506.0,7305707.0
2022-03-21,ts000982,中银绒业,2.49,0.81,-23786622.0,-14264868.0,-9521754.0,6788573.0,16998051.0
2022-03-21,ts300160,秀强股份,7.88,0.64,-23804370.0,-7151074.0,-16653296.0,-6863242.0,30667613.0
2022-03-21,ts000987,越秀金控,7.88,-1.87,-23884162.0,-22408240.0,-1475922.0,12930374.0,10953788.0
2022-03-21,ts600332,白云山,30.2,0.83,-23895352.0,-16209912.0,-7685440.0,-4711365.0,28606717.0
2022-03-21,ts301069,凯盛新材,34.95,-0.57,-23907900.0,3511513.0,-27419413.0,-8898019.0,32805917.0
2022-03-21,ts000810,创维数字,13.67,-0.44,-23918849.0,3019083.0,-26937932.0,14382187.0,9536661.0
2022-03-21,ts002310,东方园林,2.57,-1.15,-23995198.0,-5103625.0,-18891573.0,14411387.0,9583811.0
2022-03-21,ts300075,数字政通,25.47,4.3,-23999361.0,34164559.0,-58163920.0,-14782112.0,38781456.0
2022-03-21,ts002195,二三四五,2.28,-0.44,-24027075.0,-26082210.0,2055135.0,15161.0,24011914.0
2022-03-21,ts000889,中嘉博创,4.82,2.12,-24082336.0,-12434398.0,-11647938.0,16887796.0,7194542.0
2022-03-21,ts002558,巨人网络,9.93,-0.4,-24094522.0,-13904200.0,-10190322.0,17983385.0,6111136.0
2022-03-21,ts600856,*ST中天,1.9,-5.0,-24195945.0,-6572986.0,-17622959.0,-4346252.0,28542198.0
